firstName;lastName;birthdate;email;phone;street1;street2;city;stateProvince;postalCode;country
shadira;putri;2004-02-01;shadiraputri@gmail.com;081234567890;Jl. Sudirman;Jl. Thamrin;Jakarta;Jakarta Barat;10110;Indonesia
shakira;putri;2004-02-01;shakiraputri@gmail.com;081398765432;Jl. Sudirman;Jl. Thamrin;Jakarta;Jakarta Barat;10110;Indonesia
hanum;putri;2005-02-03;hanumputri@gmail.com;085612345678;Jl. Ahmad Yani;Jl. Diponegoro;Surabaya;Jawa Timur;60119;Indonesia
jema;putri;2006-04-20;jemaputri@gmail.com;085798761234;Jl. Anggrek;Jl. Melati;Bandung;Jawa Barat;40111;Indonesia
zaki;putra;2006-04-07;zakiputra@gmail.com;081756789012;Jl. Kenanga;Jl. Flamboyan;Medan;Medan;20111;Indonesia
diki;putra;2007-06-10;dikiputra@gmail.com;081823456789;Jl. Merdeka;Jl. Pahlawan;Semarang;Jawa Tengah;50241;Indonesia
dika;putra;2007-06-10;dikaputra@gmail.com;089634567890;Jl. Merdeka;Jl. Pahlawan;Semarang;Jawa Tengah;50241;Indonesia
satria;putra;2005-05-25;satriaputra@gmail.com;089598765432;Jl. R.A. Kartini;Jl. Kemuning;Yogyakarta;Jawa Tengah;55122;Indonesia
shafa;putri;2005-05-27;shafaputri@gmail.com;088123456789;Jl. Ahmad Dahlan;Jl. Hayam Wuruk;Makassar;Sulawesi Selatan;90112;Indonesia
zedan;putra;2004-12-30;zedanputra@gmail.com;088298761234;Jl. Letjen Suprapto;Jl. Prof. Dr. Soepomo;Bali;Denpasar;80227;Indonesia
