email;password
citra@gmail.com;UkH@6x8mbjFvGSa
yuda@gmail.com;KVfKAP7jSgZf.3q
kikisaputri@gmail.com;Ez9ma8uTjye@YAi
sensei@gmail.com;jcz4hAkG@XZ3K.y
hendra@gmail.com;BttHjL4CA.D3GzY
eko@gmail.com;kwHXWwcuf42rNc@
indah@gmail.com;Z2Ctp2PDh29.mpJ
erika@gmail.com;SFqfy6.8urqUvCy
selly@gmail.com;r6ieRNA@eskV@8w
nabila@gmail.com;9a5tf@.bGQ8jaXf
happyasmara@gmail.com;@zzZmSd@7VWasUA
jagung@gmail.com;mkSEaHF@HaGMy9d
farhan@gmail.com;u.Fg593dzsw8Vsi
jokowi@gmail.com;2g6p8NWLWHixR6.
yuni@gmail.com;WqyzkiABHA7seB@
yuliputri@gmail.com;kQ9Uy5AyX8.@AcZ
haiko@gmail.com;DD6@c@e5.ivPEA3
sarah@gmail.com;VE@2G8A444EkxZC
demian@gmail.com;GRc2crwh79E9A.d
wisnu@gmail.com;.w39iavnK2cQcyZ
